Estado,Acidentes,Ano
Acre,256,2021
Alagoas,580,2021
Amazonas,93,2021
Amapá,170,2021
Bahia,3316,2021
Ceará,1543,2021
Distrito Federal,981,2021
Espírito Santo,2525,2021
Goiás,3190,2021
Maranhão,1131,2021
Minas Gerais,8334,2021
Mato Grosso do Sul,1642,2021
Mato Grosso,2140,2021
Pará,846,2021
Paraíba,1441,2021
Pernambuco,2556,2021
Piauí,1139,2021
Paraná,7347,2021
Rio de Janeiro,4569,2021
Rio Grande do Norte,1339,2021
Rondônia,1419,2021
Roraima,268,2021
Rio Grande do Sul,4539,2021
Santa Catarina,7890,2021
Sergipe,511,2021
São Paulo,4300,2021
Tocantins,501,2021